id;type_document;type_ressource;date_publication;titre_document;url_fichier
34607;Bilans et rapports;Document;2016-09-20;Situation mensuelle de l'état - Août 2016;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2016_08.pdf
34628;Bilans et rapports;Document;2016-02-23;Situation mensuelle de l'état - Janvier 2016;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2016_01.pdf
34715;Bilans et rapports;Document;2013-04-19;Situation mensuelle de l'état - Mars 2013;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2013_03.pdf
34847;Bilans et rapports;Document;2010-09-17;Situation mensuelle de l'état - Août 2010;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2010_08.pdf
123049;Bilans et rapports;Document;2026-04-02;Situation mensuelle de l'Etat - décembre (provisoire) 2025;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/sme_2025-12_provisoire.pdf
34304;Bilans et rapports;Document;2024-08-21;Situation mensuelle de l'état - Juillet 2024;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2024_07.pdf
34319;Bilans et rapports;Document;2024-03-21;Situation mensuelle de l'état - Février 2024;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2024_02.pdf
34376;Bilans et rapports;Document;2022-10-21;Situation mensuelle de l'état - Septembre 2022;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2022_09.pdf
34430;Bilans et rapports;Document;2021-05-20;Situation mensuelle de l'état - Avril 2021;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2021_04.pdf
34553;Bilans et rapports;Document;2018-02-28;Situation mensuelle de l'état - Janvier 2018;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2018_01.pdf
34589;Bilans et rapports;Document;2017-03-21;Situation mensuelle de l'état - Février 2017;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2017_02.pdf
34658;Bilans et rapports;Document;2015-11-19;Situation mensuelle de l'état - Octobre 2015;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2015_10.pdf
34631;Bilans et rapports;Document;2015-02-20;Situation mensuelle de l'état - Janvier 2015;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2015_01.pdf
34697;Bilans et rapports;Document;2014-11-20;Situation mensuelle de l'état - Octobre 2014;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2014_10.pdf
34739;Bilans et rapports;Document;2013-12-18;Situation mensuelle de l'état - Novembre 2013;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2013_11.pdf
34796;Bilans et rapports;Document;2011-05-17;Situation mensuelle de l'état - Avril 2011;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2011_04.pdf
